actor_id,actor_name
693,Jason Momoa
694,Joe Morton
695,Ray Fisher
696,Joseph Cranford
697,Emily Peterson
698,Jeffrey Dean Morgan
699,Sammi Rotibi
700,Hanna Dworkin
701,Tiffany L. Addison
702,Owais Ahmed
703,Anish Jethmalani
704,Tiffany Bedwell
705,Natalee Arteaga
706,Keith D. Gallagher
707,Jeff Dumas
708,Miriam Lee
709,Alicia Regan
710,Stephanie Koenig
711,Ripley Sobo
712,Richard Burden
713,Julius Tennon
714,Wunmi Mosaku
715,Dennis North
716,Kiff VandenHeuvel
717,Mason Heidger
718,Ahney Her
719,Kristine Cabanban
720,Sebastian Sozzi
721,Kent Shocknek
722,Ralph Lister
723,Sammy A. Publes
724,Jay R. Adams
725,David Midura
726,Jay Towers
727,Michael Ellison
728,Kirill Ostapenko
729,Rashontae Wawrzyniak
730,Tom Luginbill
731,Dave Pasch
732,Danny Mooney 
733,Henry Frost III
734,Nicole Forester
735,Debbie Stabenow
736,Milica Govich 
737,John Lepard
738,Sandra Love Aldridge
739,Graham W.J. Beal
740,Henri Franklin
741,Jonathan West
742,T.J. Martinelli
743,Chris Newman
744,Lulu Dahl
745,Sam Logan Khaleghi
746,Anne Marie Damman
747,Connie Craig
748,Henrietta Hermelin
749,Albert Valladares
750,David Paris
751,Abigail Kuklis
752,Greg Violand
753,Tiren Jhames
754,Steve Jasgur
755,Jonathan Stanley
756,Jesse Nagy
757,Duvale Murchison
758,Thomas J. Fentress
759,Coburn Goss
760,Jeff Hanlin
761,Gary A. Hecker
762,Robin Atkin Downes
763,Issac Ryan Brown
764,Barton Bund
765,Bailey Chase
766,Patrick O'Connor Cronin
767,Sonja Crosby
768,C.T. Fletcher
769,Ahman Green
770,Diana Gaitirira
771,Jalene Mack
772,Esodie Geiger
773,Nene Nwoko
774,Scott Edward Logan
775,Marcus Goddard
776,Cruz Gonzalez-Cadel
777,Alma Martinez
778,Sal Lopez
779,Marcel Shihadeh
780,Theo Bongani Ndyalvane
781,Satori Shakoor
782,Ele Bardha
783,Inder Kumar
784,Brandon Bautista
785,Laura Atwood
786,Debbie Scaletta
787,David Leach
788,Gordon Michaels
789,Brian Boland
790,Taras Los
791,Jason Hughley
792,Sidi Henderson
793,Meighan Gerachis
794,Nicole Santini
795,Axel Harney
796,Wayne E. Brown
797,Dante Briggins
798,Shannon Garnett
799,Lynch R. Travis
800,Carmen Gangale
801,Joe Cipriano
802,Will Blagrove
803,Marcelo Bem
804,Brandon Routh
805,Kevin Spacey
806,Kate Bosworth
807,James Marsden
808,Parker Posey
809,Frank Langella
810,Sam Huntington
811,Eva Marie Saint
812,Marlon Brando
813,Kal Penn
814,Tristan Lake Leabu
815,David Fabrizio
816,Ian Roberts
817,Vincent Stone
818,Jack Larson
819,Noel Neill
820,Keegan Joyce
821,Jordana Beatty
822,Olga Kurylenko
823,Mathieu Amalric
824,Giancarlo Giannini
825,Gemma Arterton
826,Jeffrey Wright
827,David Harbour
828,Anatole Taubman
829,Tim Pigott-Smith
830,Joaquín Cosio
831,Glenn Foster
832,Stana Katic
833,Lucrezia Lante della Rovere
834,Neil Jackson
835,Oona Chaplin
836,Rachel McDowall
837,Gustavo Nanez
838,Mark Wakeling
839,Sarah Hadland
840,David Decio
841,Aaron King
842,Alexandra Prusa
843,Brandon Jovanovich
844,Alexandre Krawetz
845,Fernando Guillén Cuervo
846,Jesús Ochoa
847,Simon Kassianides
848,Brendan O'Hea
849,Alex Norton
850,Dermot Keaney
851,Clive Ashborn
852,Christopher Adamson
853,Jonathan Linsley
854,John Boswall
855,Max Baker
856,Steve Speirs
857,Luke de Woolfson
858,Jonathan Kite
