director_id,director_name
1177,Wayne Beach
1178,Gérard Krawczyk
1179,Udayan Prasad
1180,Yoon Je-kyoon
1181,Morten Tyldum
1182,Andy Muschietti
1183,Gillian Armstrong
1184,James Watkins
1185,Jim Fall
1186,Ric Roman Waugh
1187,Michael Dougherty
1188,Joel Gallen
1189,James Marsh
1190,Matt Williams
1191,Dennis Iliadis
1192,Rick Rosenthal
1193,Denzel Washington
1194,Nicolas Winding Refn
1195,Sara Sugarman
1196,Juan Carlos Fresnadillo
1197,Gina Prince-Bythewood
1198,Phil Traill
1199,Joe Berlinger
1200,Elizabeth Allen Rosenbaum
1201,Michael Mayer
1202,Martin Weisz
1203,John Ottman
1204,John Bonito
1205,Peter Atencio
1206,David Nutter
1207,Derek Cianfrance
1208,Stephan Elliott
1209,Mark L. Lester
1210,Tom Green
1211,Mike Nawrocki
1212,Catherine Owens
1213,Douglas Aarniokoski
1214,Bryan Barber
1215,Lone Scherfig
1216,Drew Barrymore
1217,Brian Koppelman
1218,David Levien
1219,James Foley
1220,Albert Brooks
1221,Steve Gomer
1222,RZA
1223,Mark Piznarski
1224,Craig Brewer
1225,David Raynr
1226,Mort Nathan
1227,Dan Curtis
1228,Wil Shriner
1229,Martin McDonagh
1230,Tina Gordon Chism
1231,Peter Cattaneo
1232,Mary Lambert
1233,Peter Kassovitz
1234,Rodman Flender
1235,Katja von Garnier
1236,Mark Romanek
1237,Brad Anderson
1238,Michael Chapman
1239,Antonio Banderas
1240,Khalil Sullins
1241,Fritz Lang
1242,Hou Hsiao-hsien
1243,Andrey Zvyagintsev
1244,Tony Jaa
1245,Panna Rittikrai
1246,Ryûhei Kitamura
1247,Darrell James Roodt
1248,Dito Montiel
1249,Stefan Ruzowitzky
1250,Jake Paltrow
1251,Juraj Jakubisko
1252,Anthony Silverston
1253,Gabe Ibáñez
1254,Gerry Lively
1255,Daniele Luchetti
1256,Derek Yee Tung-Sing
1257,Julien Temple
1258,Gregory Jacobs
1259,Gilles Paquet-Brenner
1260,Peter Cousens
1261,Lars von Trier
1262,John Cornell
1263,Vidhu Vinod Chopra
1264,Jamie Blanks
1265,Randal Kleiser
1266,Phil Vischer
1267,Rick Famuyiwa
1268,Alan Cohn
1269,Franco Zeffirelli
1270,Tom Holland
1271,James Isaac
1272,Emilio Estevez
1273,Josh Schwartz
1274,Julian Schnabel
1275,Todd Field
1276,Davis Guggenheim
1277,Stephen Carpenter
1278,James Fargo
1279,Alain Resnais
1280,Chao-Bin Su
1281,Kenneth Lonergan
1282,Bo Zenga
1283,Danny Leiner
1284,Christopher Cain
1285,Theodore Melfi
1286,Ed Decter
1287,Gene Quintano
1288,Eric Bress
