,director_id,director_name
885,41285,Kirsten Sheridan
886,2087,Richard Fleischer
887,31074,Kinji Fukasaku
888,68412,Toshio Masuda
889,47974,Bob Spiers
890,59229,Damien Dante Wayans
891,47333,John Wells
892,125544,Tim Fywell
893,24248,Nigel Cole
894,974,Dexter Fletcher
895,25210,Jeremy Leven
896,31119,Sylvain White
897,135601,Troy Nixey
898,65190,Philip G. Atwell
899,57405,Jeff Schaffer
900,14838,James Bridges
901,18308,Steve Barron
902,2053,Bill Paxton
903,1577,Richard Kelly
904,68352,Carter Smith
905,19304,John Schlesinger
906,26767,Ringo Lam
907,73499,Bruce McCulloch
908,437833,Patricia Riggen
909,8392,Pascal Chaumeil
910,42171,Jonathan Kaplan
911,22676,Ole Bornedal
912,24318,Richard Benjamin
913,63709,Craig R. Baxley
914,53333,John Hillcoat
915,6778,John Guillermin
916,74062,Marcos Siega
917,56891,Rachel Talalay
918,109695,Jeffrey W. Byrd
919,56205,Atom Egoyan
920,11057,Robert Towne
921,65314,Giuseppe Tornatore
922,6818,Werner Herzog
923,93592,Jérôme Deschamps
924,151175,Pascal Hérold
925,1051654,Macha Makeïeff
926,115999,Inna Evlannikova
927,116000,Svyatoslav Ushakov
928,83730,Jonathan English
929,38131,Sergey Bondarchuk
930,70703,Teddy Chan
931,16214,Mario Van Peebles
932,1749,Leonard Nimoy
933,18378,Herbert Ross
934,5149,Bonnie Hunt
935,58689,Neil LaBute
936,31511,Grant Heslov
937,21792,George Gallo
938,39996,Sidney Lumet
939,32983,Douglas McGrath
940,1979,Kevin Spacey
941,116100,Richard Williams
942,130482,Mary McGuckian
943,3417,Tony Goldwyn
944,558177,Jonathan Newman
945,84165,Michael Dinner
946,15663,Joseph Sargent
947,59635,Jerry Zaks
948,29783,Fred Durst
949,48583,Anne Fontaine
950,25873,Jon Cassar
951,6495,Mira Nair
952,14639,Mel Brooks
953,934,Russell Crowe
954,16853,Jessie Nelson
955,235820,Christopher Spencer
956,69498,Mike Bigelow
957,12632,Daniel Sackheim
958,13614,Deborah Kaplan
959,13615,Harry Elfont
960,15868,Uli Edel
961,44056,Fred Dekker
962,84981,Brian Trenchard-Smith
963,1318092,Paul J. Lombardi
964,1927,Blake Edwards
965,52894,Laurence Dunmore
966,70221,Christian Carion
967,51298,Dax Shepard
968,140372,David Palmer
969,17608,Rowan Joffe
970,96166,John Curran
971,84714,Juan José Campanella
972,34517,Trey Parker
973,76418,Stuart Gillard
974,102634,Katt Shea
975,64139,Joshua Michael Stern
976,74396,Tomas Alfredson
977,72624,John Duigan
978,4967,Colin Higgins
979,58514,Jim Sonzero
980,58448,Penelope Spheeris
981,56578,Jeff Tremaine
982,16187,Jeannot Szwarc
983,72757,Steve McQueen
984,1096867,Thea Sharrock
985,52114,Jon Lucas
986,226089,Scott Moore
987,1027737,Robin Budd
988,1027738,Donovan Cook
989,929825,Ava DuVernay
990,142007,Steve Trenbirth
991,61087,Mennan Yapo
992,93301,Jun Falkenstein
993,17867,Tom McCarthy
994,20310,Takashi Shimizu
995,47893,Gary Nelson
996,45052,Anton Corbijn
997,16395,Gregory Nava
998,26095,John Patrick Shanley
999,86051,Joshua Logan
1000,57521,Steve Beck
1001,222470,Todd Strauss-Schulson
1002,9200,John McNaughton
1003,45627,Nelson McCormick
1004,51445,Eric Valette
1005,41549,Andrew Fleming
1006,56501,Michael Spierig
1007,56502,Peter Spierig
1008,111686,Jim Field Smith
1009,56789,Thomas Bezucha
1010,62768,William Brent Bell
1011,61970,Ben Gluck
1012,131242,Anthony Bell
1013,53014,Jessica Bendinger
1014,142272,Henry Joost
1015,142276,Ariel Schulman
1016,228,Ed Harris
1017,2636,Alfred Hitchcock
1018,129718,Shana Feste
1019,54590,Steve Rash
1020,24173,Mike Binder
1021,69593,Michael J. Bassett
1022,73161,Frank Nissen
1023,57607,Stephen Chow
1024,64149,Peter Hastings
1025,1216735,Paul Abascal
1026,58059,Chris Koch
1027,57434,Amy Heckerling
